year,title,authors,venue,publicationDate,citationCount,category,keywordTags,doi,sourceId,url,workType,language,relevanceScore,relevanceReason,abstractSnippet
1915,"The cell masses in the forebrain of the turtle, cistudo carolina",J. Johnston,Unknown venue,1915-10-01,149,General Brain-AI Structure Reviews and Methods,brain-structure;neural-signals,10.1002/cne.900250502,533fa29099ff5351553f4f5216651a2254d3c12b,https://doi.org/10.1002/cne.900250502,Review,unknown,8,brain; hippocampus; eeg; meg; ecog; brain/neural structure in title,"In continuation of work upon the forebrain, it is the writer's intention to study the origin, growth and differentiation of the general pallium in the series of vertebrates."
1915,The development of reflex mechanisms in amblystoma,"C. J. Herrick, G. Coghill",Unknown venue,1915-02-01,70,"Cellular, Synaptic, and Neuromorphic Foundations",,10.1002/cne.900250104,ce87ce36edd7007c43f62f742a94b82f3154490c,https://doi.org/10.1002/cne.900250104,paper,unknown,2,brain; neuron,"The vertebrate nervous system consists very largely of reflex mechanisms of various grades of complexity with innumerable interrelationships, all of which are integrated by a system of higher correlation centers."
1915,"Note on the physiology of the basal ganglia and mid-brain of the anthropoid ape, especially in reference to the act of laughter",T. Brown,Journal of Physiology,1915-05-12,69,General Brain-AI Structure Reviews and Methods,brain-structure,10.1113/jphysiol.1915.sp001703,9ccb1a0028ef51269d98ee2221976cc5da6092b0,https://doi.org/10.1113/jphysiol.1915.sp001703,JournalArticle,unknown,5,brain; basal ganglia; brain/neural structure in title,
1915,"On the activities of the central nervous system of the un-born fœtus of the cat; with a discussion of the question whether progression (walking, etc.) is a ""learnt"" complex",T. Brown,Journal of Physiology,1915-05-12,53,General Brain-AI Structure Reviews and Methods,,10.1113/jphysiol.1915.sp001704,e6222980cf12ed8fad9a713b750933fb3d5eea58,https://doi.org/10.1113/jphysiol.1915.sp001704,JournalArticle,unknown,1,brain,
1915,CONCERNING THE RESULTS OF OPERATIONS FOR BRAIN TUMOR,H. Cushing,Unknown venue,1915-01-16,44,Clinical NeuroAI and Brain Disorders,brain-structure,10.1001/JAMA.1915.02570290001001,8a76073ff630a31c2133f3dbeadec1055d025039,https://doi.org/10.1001/JAMA.1915.02570290001001,Review,unknown,4,brain; brain/neural structure in title,
1915,THE DIAGNOSTIC VALUE OF THE PLACENTAL BLOOD FILM IN ÆSTIVO-AUTUMNAL MALARIA,H. Clark,Journal of Experimental Medicine,1915-10-01,43,Clinical NeuroAI and Brain Disorders,brain-structure;neuroimaging;clinical-neuroai,10.1084/jem.22.4.427,64435095f0c58ea4806c2e01131f5d0ad5de2227,https://doi.org/10.1084/jem.22.4.427,JournalArticle,unknown,1,brain,1. The placental blood film examination is worthy of routine application wherever æstivo-autumnal malaria is endemic.
1915,A note on the course and distribution of the nervus terminalis in man,R. E. McCotter,Unknown venue,1915-03-01,42,General Brain-AI Structure Reviews and Methods,brain-structure,10.1002/AR.1090090304,c27240c4d00a1bfaba20614ec0fc7bbf0ed76256,https://doi.org/10.1002/AR.1090090304,paper,unknown,1,brain,Johnston ('13) was the first observer to determine the presence of the nervus terminalis in man.
1915,"The Morphology of Araucaria brasiliensis. III. Fertilization, the Embryo, and the Seed",L. Burlingame,Botanical Gazette,1915-01-01,35,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,10.1086/331466,500210d092398141a1b7887bee94394803c23bad,https://doi.org/10.1086/331466,paper,unknown,2,brain; cortex,1. Pollination occurs on the scale at a distance from the nucellus.
1915,THE SPECIFIC GRAVITY OF THE HUMAN BODY,C. Spivak,Unknown venue,1915-04-01,35,"Cognitive Architectures, Learning, and Systems Neuroscience",brain-structure,10.1001/ARCHINTE.1915.00070220130011,cd0bb1951e7b85bcfd96345ad7af5db482f30351,https://doi.org/10.1001/ARCHINTE.1915.00070220130011,paper,unknown,1,brain,"HISTORICAL Specific gravity is one of the first fundamental principles of hydrostatics, and its discovery is ascribed to Archimedes (287 B."
1915,THE POSSIBILITY OF RECOVERY OF MOTOR FUNCTION IN LONG-STANDING HEMIPLEGIA: A PRELIMINARY REPORT,"S. Franz, Mildred E. Scheetz, A. A. Wilson",Unknown venue,1915-12-18,31,General Brain-AI Structure Reviews and Methods,brain-structure,10.1001/JAMA.1915.02580250022007,6ce3ec4bccec29905c43cbb60a77963e9c2c4df1,https://doi.org/10.1001/JAMA.1915.02580250022007,paper,unknown,2,brain; cerebral,"It is well known that in the hemiplegias due to cerebral lesions, there are usually early recoveries of function for different segments when the other acute symptoms of hemorrhage, or embolism, or trauma, subside."
1915,Growth Studies in Forest Trees. 2. Pinus strobus L.,H. P. Brown,Botanical Gazette,1915-03-01,28,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,10.1086/331527,a5fddcbb24b8f423597c17db7c63b3f61802fa62,https://doi.org/10.1086/331527,paper,unknown,2,brain; cortex,1. The winter condition of the secondary cortex and cambium of white pine is similar to that of Pinus rigida.
1915,"STUDIES IN THE PHYSIOLOGY OF THE NERVOUS SYSTEM. XXII.: ON THE PHENOMENON OF FACILITATION. 1: ITS OCCURRENCE IN REACTIONS INDUCED BY STIMULATION OF THE ""MOTOR"" CORTEX OF THE CEREBRUM IN MONKEYS",T. Brown,Unknown venue,1915-06-23,28,General Brain-AI Structure Reviews and Methods,brain-structure,10.1113/EXPPHYSIOL.1915.SP000196,4aadc87a61d69f26a20c09e0b271d5eb0f6de918,https://doi.org/10.1113/EXPPHYSIOL.1915.SP000196,paper,unknown,6,brain; cerebrum; cortex; brain/neural structure in title,
1915,Family Cerebral Degeneration with Macular Changes,"F. E. Batten, M. Mayou",Proceedings of the Royal Society of Medicine,1915-06-01,27,General Brain-AI Structure Reviews and Methods,brain-structure,10.1177/003591571500801624,b889bf9c4a871f9d7056b111e8caffd9b890851b,https://doi.org/10.1177/003591571500801624,JournalArticle,unknown,2,brain; cerebral,
1915,"On the rhinencephalon of Delphinus delphis, L.",W. Addison,Unknown venue,1915-10-01,27,General Brain-AI Structure Reviews and Methods,brain-structure,10.1002/cne.900250504,00efa31e684a92bad97b817d01302cf5e80052c3,https://doi.org/10.1002/cne.900250504,paper,unknown,1,brain,"The brain of the common dolphin is characterized by the entire absence of the olfactory tracts and bulbs, and hence the dolphin is completely anosmatic."
1915,A HITHERTO UNDIFFERENTIATED NUCLEUS IN THE FOREBRAIN (NUCLEUS SUBPUTAMINALIS),Giuseppe Ayala,Unknown venue,1915-03-01,26,General Brain-AI Structure Reviews and Methods,brain-structure,10.1093/BRAIN/37.3-4.433,10b02e55aae350a2ff9a3b3a02c42b7348f06a23,https://doi.org/10.1093/BRAIN/37.3-4.433,paper,unknown,4,brain; brain/neural structure in title,
1915,On the influence of exercise on the growth of organs in the albino rat,S. Hatai,Unknown venue,1915-08-01,25,General Brain-AI Structure Reviews and Methods,brain-structure,10.1002/ar.1090090805,69532b0de09f0e654338896884b34b68bcd5a5c0,https://doi.org/10.1002/ar.1090090805,paper,unknown,1,brain,For the past three years experiments have been carried on to determine the effect of long-continued exercise on the growth of organs in the albino rat.
1915,"X. On Isoëtes japonica, A. Br.","C. West, H. Takeda",Unknown venue,1915-12-01,23,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure;neuroimaging,10.1111/J.1095-8339.1915.TB00288.X,de4d31ebdc158b9a8ce187c3ccd77423cc0ec1c4,https://doi.org/10.1111/J.1095-8339.1915.TB00288.X,paper,unknown,2,brain; cortex,"Summary The trilobed caudex of Isoetes japonica consists of two distinct structures, viz."
1915,"A new fish brain from the coal measures of kansas, with a review of other fossil brains",R. L. Moodie,Unknown venue,1915-04-01,21,General Brain-AI Structure Reviews and Methods,brain-structure,10.1002/cne.900250203,f5102e5ffcb05ce2d1ed6eb1dd582f35c0028f3d,https://doi.org/10.1002/cne.900250203,Review,unknown,4,brain; brain/neural structure in title,
1915,"THE VISUAL CORTEX, ITS LOCALIZATION, HISTOLOGICAL STRUCTURE, AND PHYSIOLOGICAL FUNCTION",E. Funkhouser,Journal of Experimental Medicine,1915-06-01,13,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure;clinical-neuroai,10.1084/jem.21.6.617,21f72715151bdb5a40d806e06dbe41a0f442a4d5,https://doi.org/10.1084/jem.21.6.617,JournalArticle,unknown,5,cortex; cortical; brain/neural structure in title,"In the study of the human cortex it seems well to follow the same primary divisions for the entire cortex, while in certain areas some layers may assume certain modifications; viz., in the area striata it seems clearer to retain the sixth layer ground type, of which the fourth is subdivided into three secondary layers."
1915,Observations on cholesterol-fed guinea pigs,C. H. Bailey,Unknown venue,1915-12-01,12,General Brain-AI Structure Reviews and Methods,brain-structure,10.3181/00379727-13-35,c1905b5f4d2d6ee6517e3d83239cbb81367dac9e,https://doi.org/10.3181/00379727-13-35,JournalArticle,unknown,2,brain; cortex,"The following experiments were done to test the possibility of the production of atheroma of the aorta in guinea pigs by cholesterol feeding, and also to test certain theories which have been advanced as to the importance of factors, other than the cholesterol, in the production of this type of atheroma."
1915,A study of the afferent fibers of the body wall and of the hind legs to the cerebellum of the dog by the method of degeneration,G. Horrax,Unknown venue,1915-04-01,11,General Brain-AI Structure Reviews and Methods,brain-structure,10.1002/ar.1090090404,23b694c2c79310dc10e720340fc440abc6141223,https://doi.org/10.1002/ar.1090090404,paper,unknown,2,brain; cerebellum,
1915,"A study of the endocranial casts of ocapia, giraffa and samotherium, with special reference to the convolutional pattern in the family of Giraffidae",D. Black,Unknown venue,1915-08-01,11,General Brain-AI Structure Reviews and Methods,deep-learning,10.1002/cne.900250403,64c255cde2c3ecaace7626b832d2e51e5d6202a6,https://doi.org/10.1002/cne.900250403,paper,unknown,2,brain; cerebrum,Introduction.. . . . . . . . . . . . . . .
1915,THE ACTION OF GLANDULAR EXTRACTS ON THE SECRETION OF CEREBROSPINAL FLUID,"C. H. Frazier, M. M. Peet",Unknown venue,1915-03-01,11,General Brain-AI Structure Reviews and Methods,,10.1152/AJPLEGACY.1915.36.4.464,8259ad8ed1acc75db1f72a266e3acf55dc12a56a,https://doi.org/10.1152/AJPLEGACY.1915.36.4.464,paper,unknown,1,brain,
1915,Zur Kenntnis der normalen und pathologischen Neuroglia,K. Schaffer,Unknown venue,1915-12-01,10,General Brain-AI Structure Reviews and Methods,,10.1007/BF02893014,ce70ea4f1c64cfd0ae4ac32cf0eab678eff73999,https://doi.org/10.1007/BF02893014,paper,unknown,0,Semantic Scholar brain-AI query,
1915,CONCERNING SURVIVAL AND VIRULENCE OF THE MICROORGANISM CULTIVATED FROM POLIOMYELITIC TISSUES,"S. Flexner, H. Noguchi, H. Amoss",Journal of Experimental Medicine,1915-01-01,9,General Brain-AI Structure Reviews and Methods,brain-structure,10.1084/jem.21.1.91,96f58018d780ef289c4322aeb57481ca94eab04a,https://doi.org/10.1084/jem.21.1.91,JournalArticle,unknown,2,brain; cerebral,The minute microörganism cultivated from poliomyelitic tissues survives and maintains its pathogenicity in cultures for more than one year.
1915,INTRASPINAL ADMINISTRATION OF MORPHIN,"H. McGuigan, E. L. Ross",Unknown venue,1915-05-01,9,"Cognitive Architectures, Learning, and Systems Neuroscience",clinical-neuroai,10.1001/JAMA.1915.02570440034010,6746d3ca69f251f097d20dc5b607c8d574c81eea,https://doi.org/10.1001/JAMA.1915.02570440034010,paper,unknown,0,Semantic Scholar brain-AI query,The object of this preliminary note is to call attention to the pronounced and unexpected action of morphin when injected into the cerebrospinal canal or directly into any part of the central nervous system.
