year,title,authors,venue,publicationDate,citationCount,category,keywordTags,doi,sourceId,url,workType,language,relevanceScore,relevanceReason,abstractSnippet
1993,"WAF1, a potential mediator of p53 tumor suppression.","W. El-Deiry, T. Tokino, V. Velculescu, D. B. Levy, R. Parsons, J. Trent, et al.",Cell,1993-11-19,8773,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,10.1016/0092-8674(93)90500-P,8b2dee90da567a16441a763e94ae9a52dd4aeebd,https://doi.org/10.1016/0092-8674(93)90500-P,JournalArticle,unknown,13,brain; neuromorphic; explicit brain-structure/AI bridge,The ability of p53 to activate transcription from specific sequences suggests that genes induced by p53 may mediate its biological role as a tumor suppressor.
1993,"Magnetoencephalography-theory, instrumentation, and applications to noninvasive studies of the working human brain","M. Hämäläinen, R. Hari, R. Ilmoniemi, J. Knuutila, O. V. Lounasmaa",Unknown venue,1993-04-01,4852,"Electrophysiology, Neural Signals, and AI Decoding",brain-structure;connectome;neural-signals,10.1103/REVMODPHYS.65.413,5a81da5d70d8e644609d2635cb08db85939539f2,https://doi.org/10.1103/REVMODPHYS.65.413,paper,unknown,8,brain; brain/neural structure in title; historical computation/learning bridge,
1993,Thalamocortical oscillations in the sleeping and aroused brain.,"M. Steriade, D. McCormick, T. Sejnowski",Science,1993-10-29,3622,"Electrophysiology, Neural Signals, and AI Decoding",brain-structure;neural-signals,10.1126/SCIENCE.8235588,851d8a4f1d891a45b0aa529b6fcda23934ac2a06,https://doi.org/10.1126/SCIENCE.8235588,Review; JournalArticle,unknown,18,brain; cortical; neural; decoding; brain/neural structure in title; explicit brain-structure/AI bridge,
1993,A Neural System for Error Detection and Compensation,"W. Gehring, B. Goss, M. Coles, D. Meyer, E. Donchin",Unknown venue,1993-11-01,2915,General Brain-AI Structure Reviews and Methods,brain-structure,10.1111/j.1467-9280.1993.tb00586.x,e418827b42bab4bab680760cc3fb5f68097b4a41,https://doi.org/10.1111/j.1467-9280.1993.tb00586.x,JournalArticle,unknown,5,brain; neural; brain/neural structure in title,
1993,Risk Factors,"Nima Hejazi, Dr. Lendle",Morality and Ethics at War,1993-01-01,2579,Clinical NeuroAI and Brain Disorders,brain-structure;clinical-neuroai,10.1111/j.1751-7176.2007.tb00069.x,6421058571e2cc3e6a47d03fd8631c878dd88ac3,https://doi.org/10.1111/j.1751-7176.2007.tb00069.x,JournalArticle,unknown,1,brain,Background. Beta-lactam antibiotics are associated with risk for neurotoxicity.
1993,"Optimized survival of hippocampal neurons in B27-supplemented neurobasal™, a new serum-free medium combination","G. Brewer, J. R. Torricelli, E. Evege, P. Price",Journal of Neuroscience Research,1993-08-01,2247,"Cellular, Synaptic, and Neuromorphic Foundations",,10.1002/jnr.490350513,e1ad6a345f2aea407e44549612a3aff848175a3d,https://doi.org/10.1002/jnr.490350513,JournalArticle,unknown,13,neuron; neuromorphic; explicit brain-structure/AI bridge,
1993,The role of secondary brain injury in determining outcome from severe head injury.,"R. Chesnut, L. Marshall, M. Klauber, B. Blunt, N. Baldwin, H. Eisenberg, et al.",Journal of Trauma,1993-02-01,2152,General Brain-AI Structure Reviews and Methods,brain-structure,10.1097/00005373-199302000-00006,55465c340a5ad84cf472559a71c01ff10a3e6793,https://doi.org/10.1097/00005373-199302000-00006,JournalArticle,unknown,4,brain; brain/neural structure in title,
1993,Improved Localizadon of Cortical Activity by Combining EEG and MEG with MRI Cortical Surface Reconstruction: A Linear Approach,"A. Dale, M. Sereno",Journal of Cognitive Neuroscience,1993-04-01,2033,"Electrophysiology, Neural Signals, and AI Decoding",brain-structure;neuroimaging;neural-signals,10.1162/jocn.1993.5.2.162,ebff15fb4098fe22e76447f0e10ea90edc2191c8,https://doi.org/10.1162/jocn.1993.5.2.162,JournalArticle,unknown,17,cortical; mri; eeg; meg; neural; decoding; explicit brain-structure/AI bridge,
1993,Definition of mild traumatic brain injury,"T. Kay, D. Harrington, R. Adams, T. P. Anderson, S. Berrol, K. Cicerone, et al.",Unknown venue,1993-09-01,1912,General Brain-AI Structure Reviews and Methods,brain-structure,,5fa32914e093c8b766a10a6ade54fc92b77070f2,https://www.semanticscholar.org/paper/5fa32914e093c8b766a10a6ade54fc92b77070f2,paper,unknown,4,brain; brain/neural structure in title,
1993,Functional brain mapping by blood oxygenation level-dependent contrast magnetic resonance imaging. A comparison of signal characteristics with a biophysical model.,"S. Ogawa, Ravi S. Menon, D. Tank, S. G. Kim, H. Merkle, J. Ellermann, et al.",Biophysical Journal,1993-03-01,1861,Structural Neuroimaging and AI,brain-structure;neuroimaging,10.1016/S0006-3495(93)81441-3,8854e4f488c6efa175ad199a5b1e23b852de8b36,https://doi.org/10.1016/S0006-3495(93)81441-3,JournalArticle; Study,unknown,8,brain; brain/neural structure in title; historical computation/learning bridge,
1993,Processing strategies for time-course data sets in functional mri of the human brain,"P. Bandettini, A. Jesmanowicz, E. Wong, J. Hyde",Magnetic Resonance in Medicine,1993-08-01,1832,Structural Neuroimaging and AI,brain-structure;neuroimaging,10.1002/mrm.1910300204,b66014a8972536a0859f468c4799601997b0da35,https://doi.org/10.1002/mrm.1910300204,JournalArticle,unknown,5,brain; mri; brain/neural structure in title,
1993,Synchronization of cortical activity and its putative role in information processing and learning.,W. Singer,Annual Review of Physiology,1993,1798,"Cognitive Architectures, Learning, and Systems Neuroscience",brain-structure,10.1146/ANNUREV.PH.55.030193.002025,4fc1b5426ffab454e9d74e8105c31029696b4cba,https://doi.org/10.1146/ANNUREV.PH.55.030193.002025,Review; JournalArticle,unknown,13,cortical; cognitive architecture; explicit brain-structure/AI bridge,
1993,MRI-PET Registration with Automated Algorithm,"R. Woods, J. Mazziotta, and Simon R. Cherry",Journal of computer assisted tomography,1993-07-01,1784,Structural Neuroimaging and AI,brain-structure;connectome;neuroimaging,10.1097/00004728-199307000-00004,94127063417ed5addb64371bcac30f89f1b5ea7a,https://doi.org/10.1097/00004728-199307000-00004,JournalArticle,unknown,5,mri; historical computation/learning bridge,
1993,3D statistical neuroanatomical models from 305 MRI volumes,"Alan C. Evans, D. Collins, S. R. Mills, E. D. Brown, R. L. Kelly, T. Peters",1993 IEEE Conference Record Nuclear Science Symposium and Medical Imaging Conference,1993-10-31,1697,Structural Neuroimaging and AI,brain-structure;neuroimaging,10.1109/NSSMIC.1993.373602,11dcaddab76b153584471e6919ff25cabda92ace,https://doi.org/10.1109/NSSMIC.1993.373602,Conference,unknown,5,mri; historical computation/learning bridge,
1993,The New WHO Classification of Brain Tumours,"P. Kleihues, P. Burger, B. Scheithauer",Brain Pathology,1993-07-01,1562,Structural Neuroimaging and AI,brain-structure;machine-learning,10.1111/j.1750-3639.1993.tb00752.x,0304600a856e23db4e85b2a64a99c3a9e71b7697,https://doi.org/10.1111/j.1750-3639.1993.tb00752.x,Review; JournalArticle,unknown,16,brain; classification; brain/neural structure in title; explicit brain-structure/AI bridge,
