rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,semanticScholarUrl,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1971,Simple memory: a theory for archicortex.,D. Marr,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",1971-07-01,2971,250,189.15,"Cognitive Architectures, Learning, and Systems Neuroscience",brain-structure,Positions Simple memory: a theory for archicortex. within Cognitive and Systems Neuroscience.,"high citation signal (2,971); recognized venue; brain-structure signal","Task designs can oversimplify cognition and limit ecological validity.; Circuit-behavior correlations need causal perturbation or strong model comparison before mechanistic claims are secure.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1098/RSTB.1971.0078,03854785c693f07eeb1cc64c15c21e6b92699e0c,https://doi.org/10.1098/RSTB.1971.0078,,,,JournalArticle,unknown,cortex; cognitive architecture; brain/neural structure in title; explicit brain-structure/AI bridge,
2,1971,Focal dysplasia of the cerebral cortex in epilepsy,"D. Taylor, M. Falconer, C. Bruton, J. Corsellis",Journal of Neurology Neurosurgery & Psychiatry,1971-08-01,1077,44,155.09,Clinical NeuroAI and Brain Disorders,brain-structure;clinical-neuroai,Positions Focal dysplasia of the cerebral cortex in epilepsy within Clinical Neurology and Neurodegeneration.,"high citation signal (1,077); recognized venue; open-access PDF metadata; brain-structure signal","Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1136/jnnp.34.4.369,ee07dd62f29b8a67e91e0ca68a5f95c870397997,https://doi.org/10.1136/jnnp.34.4.369,,https://jnnp.bmj.com/content/jnnp/34/4/369.full.pdf,,JournalArticle,unknown,brain; cerebral; cortex; brain/neural structure in title,
3,1971,Developmental neurobiology,Massimo Caldarelli,Neurology,1971-03-01,770,31,167.86,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,"The nervous system, once thought to be so complicated that it would defy our efforts to understand it, has begun to yield its secrets with accelerating speed.",high citation signal (770); recognized venue; open-access PDF metadata; brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1007/978-1-4757-4954-0,4dac50bd9348c524829a254f585f7c63d79c1f86,https://doi.org/10.1007/978-1-4757-4954-0,,https://www.science.org/doi/pdf/10.1126/science.274.5290.1099,,paper,unknown,brain; cortical; neuron; neural; neuromorphic; explicit brain-structure/AI bridge,"The nervous system, once thought to be so complicated that it would defy our efforts to understand it, has begun to yield its secrets with accelerating speed. Indeed, researchers' efforts to understand how the nervous system develops have succeeded to the point that Martin Raff of London's University College can aptly describe the progress as ""staggering"" in the guest Editorial that opens this Special Issue on Developmental Neurobiology. The articles in this issue describe some of that staggering progress. Two deal with the earliest stages of vertebrate neurodevelopment, from the first formation of the neural ectoderm, the tissue that will give rise to the brain and spinal cord, to the later division of the central nervous system into the regions that will go on to acquire specific functions. Using the hindbrain and midbrain as examples, A. Lumsden and R. Krumlauf focus on how the overall anterior-posterior pattern of the nervous system is specified. Both the Hox genes and a variety of signaling molecules, such as retinoic acid, are important players in establishing the fates of these early cells. In their article, Y. Tanabe and T. M. Jessell Y. Tanabe and T. M. Jessell take up dorsal-ventral patterning. Here the spinal cord serves as a useful example. Signals, such as Sonic Hedgehog, emanate from the floor plate of the spinal cord and the underlying notochord to direct the fate of the spinal neurons. As neurons acquire particular identities, they begin forming the interconnections that wire the mature nervous system. M. Tessier-Lavigne and C. S. Goodman describe axon guidance, the process by which a growing axon finds a reasonable route toward a likely target. The signposts along the way include both soluble and nondiffusible molecules, which give instructions that can either attract or repel the elongating axon. Once the neural circuits are roughly sketched in early development, their final structure is refined by neuronal activity. L. C. Katz and C. J. Shatz discuss how both sensory experience and spontaneous neural activity can polish the final development of functional neural circuits as well as enable the mature central nervous system to respond to changing inputs. To complement these articles, the News report offers two stories. One describes the human and mouse mutations that are helping reveal the molecules that guide newborn cortical neurons to their final destinations in the brain; another examines new developments in understanding the plasticity of the neuromuscular junction, findings that may also shed light on learning and memory. And finally, F. E. BlooM provides an analysis of the neuroscience resources available on the World Wide Web, including those devoted to the intersection of neuroscience and developmental biology."
4,1971,The mechanism of excitation by acetylcholine in the cerebral cortex,"K. Krnjević, R. Pumain, L. Renaud",Journal of Physiology,1971-05-01,690,15,133.89,General Brain-AI Structure Reviews and Methods,brain-structure,Positions The mechanism of excitation by acetylcholine in the cerebral cortex within General Brain Science and Reviews.,high citation signal (690); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1113/jphysiol.1971.sp009467,2fdb0c8b450ddb4bb3812f90f5307bcb33d27a92,https://doi.org/10.1113/jphysiol.1971.sp009467,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1331876,,JournalArticle,unknown,brain; cerebral; cortex; brain/neural structure in title,
5,1971,Synaptic plasma membranes from rat brain synaptosomes: isolation and partial characterization.,"C. Cotman, D. A. Matthews",Biochimica et Biophysica Acta,1971-12-03,596,12,148.25,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,"Positions Synaptic plasma membranes from rat brain synaptosomes: isolation and partial characterization. within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (596); brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1016/0005-2736(71)90117-9,1c9a7eb1b4169ec21a11721afa35e7c8e9e15d1d,https://doi.org/10.1016/0005-2736(71)90117-9,,,,JournalArticle,unknown,brain; neuromorphic; brain/neural structure in title; explicit brain-structure/AI bridge,
6,1971,Acetylcholine Liberation from Cerebral Cortex during Paradoxical (REM) Sleep,"H. H. Jasper, Jacques Tessier",Science,1971-05-07,427,9,134.26,General Brain-AI Structure Reviews and Methods,brain-structure,Positions Acetylcholine Liberation from Cerebral Cortex during Paradoxical (REM) Sleep within General Brain Science and Reviews.,high citation signal (427); recognized venue; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1126/science.172.3983.601,0256591d37df80f76a34507ed07ac551a9162858,https://doi.org/10.1126/science.172.3983.601,,,,JournalArticle,unknown,brain; cerebral; cortex; brain/neural structure in title,
7,1971,Stereospecific and nonspecific interactions of the morphine congener levorphanol in subcellular fractions of mouse brain.,"A. Goldstein, L. I. Lowney, B. Pal",Proceedings of the National Academy of Sciences of the United States of America,1971-08-01,396,7,155.91,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,Positions Stereospecific and nonspecific interactions of the morphine congener levorphanol in subcellular fractions of mouse brain. within General Brain Science and Reviews.,high citation signal (396); recognized venue; open-access PDF metadata; brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1073/PNAS.68.8.1742,6ec231e883dc616a4d1bd8ae29f297e556a5dece,https://doi.org/10.1073/PNAS.68.8.1742,,https://europepmc.org/articles/pmc389284?pdf=render,,JournalArticle,unknown,brain; neuromorphic; brain/neural structure in title; explicit brain-structure/AI bridge,
8,1971,The genesis of the EEG.,R. Elul,International review of neurobiology,1971,383,19,136.31,"Electrophysiology, Neural Signals, and AI Decoding",neural-signals,"Positions The genesis of the EEG. within EEG, MEG, and Electrophysiology.",high citation signal (383),"Signal artifacts, montage choices, source localization, and session drift can dominate apparent model performance.; Temporal precision does not automatically imply anatomical specificity.; Signal drift, artifacts, and session effects can limit real-world decoding reliability.",10.1016/S0074-7742(08)60333-5,823316d80c3b4078ee5f41179e5d2ec3c02938a6,https://doi.org/10.1016/S0074-7742(08)60333-5,,,,Review; JournalArticle,unknown,eeg; neural; decoding; explicit brain-structure/AI bridge,
9,1971,Brain-associated Θ antigen: Reactivity of rabbit anti-mouse brain with mouse lymphoid cells☆,E. Golub,Unknown venue,1971-08-01,370,2,139.69,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,Positions Brain-associated Θ antigen: Reactivity of rabbit anti-mouse brain with mouse lymphoid cells☆ within General Brain Science and Reviews.,high citation signal (370); brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1016/0008-8749(71)90070-0,af16c8ce90bfbbbafc8cc9d63d6135feb9c1f665,https://doi.org/10.1016/0008-8749(71)90070-0,,,,paper,unknown,brain; neuromorphic; brain/neural structure in title; explicit brain-structure/AI bridge,
10,1971,The termination of fibres from the cerebral cortex and thalamus upon dendritic spines in the caudate nucleus: a study with the Golgi method.,"J. M. Kemp, T. Powell","Philosophical transactions of the Royal Society of London. Series B, Biological sciences",1971-09-30,306,7,130.28,General Brain-AI Structure Reviews and Methods,brain-structure,Positions The termination of fibres from the cerebral cortex and thalamus upon dendritic spines in the caudate nucleus: a study with the Golgi method. within General Brain Science and Reviews.,high citation signal (306); recognized venue; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1098/RSTB.1971.0105,7c4674a558d66e9979811b206ce8fe59934116e8,https://doi.org/10.1098/RSTB.1971.0105,,,,JournalArticle,unknown,brain; cerebral; cortex; thalamus; brain/neural structure in title,
