year,title,authors,venue,publicationDate,citationCount,category,keywordTags,doi,sourceId,url,workType,language,relevanceScore,relevanceReason,abstractSnippet
1987,Implications of normal brain development for the pathogenesis of schizophrenia.,D. Weinberger,Archives of General Psychiatry,1987-07-01,3648,General Brain-AI Structure Reviews and Methods,brain-structure,10.1001/ARCHPSYC.1987.01800190080012,9a8c43adb9c82e7fce041660150cd70260d268c6,https://doi.org/10.1001/ARCHPSYC.1987.01800190080012,JournalArticle,unknown,4,brain; brain/neural structure in title,
1987,Glycine potentiates the NMDA response in cultured mouse brain neurons,"J. Johnson, P. Ascher",Nature,1987-02-05,3075,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,10.1038/325529A0,e75178b89125ca6e8c6a3c31928ac2fbb3e23e78,https://doi.org/10.1038/325529A0,JournalArticle,unknown,5,brain; neuron; brain/neural structure in title,
1987,How brains make chaos in order to make sense of the world,"Ronald Rosenfeld, D. Touretzky",Behavioral and Brain Sciences,1987-06-01,1986,"Cognitive Architectures, Learning, and Systems Neuroscience",brain-structure,10.1017/S0140525X00047336,fa18cf2efa4c454da93178180258524f9a0add17,https://doi.org/10.1017/S0140525X00047336,paper,unknown,4,brain; brain/neural structure in title,
1987,Small Differences in Intraischemic Brain Temperature Critically Determine the Extent of Ischemic Neuronal Injury,"R. Busto, Dalton Dietrich, Mordecai, Globus, I. Valdés, P. Scheinberg, et al.",Journal of Cerebral Blood Flow and Metabolism,1987-12-01,1866,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,10.1038/jcbfm.1987.127,d381f8b94822ef9300c40a32c65bd94529fa4e14,https://doi.org/10.1038/jcbfm.1987.127,JournalArticle,unknown,5,brain; neuron; brain/neural structure in title,
1987,Astrocytes induce blood-brain barrier properties in endothelial cells,"R. Janzer, M. Raff",Nature,1987-01-15,1662,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,10.1038/325253A0,43c552a21a1b64c60f57ca312b3aee24f8caa22b,https://doi.org/10.1038/325253A0,JournalArticle,unknown,4,brain; brain/neural structure in title,
1987,Positron emission tomography study of human brain functional development,"H. Chugani, M. Phelps, J. Mazziotta",Annals of Neurology,1987-10-01,1586,"Connectomics, Graph Models, and Brain Networks",brain-structure;connectome,10.1002/ana.410220408,d45a5043f9ef81c43d81038e56dc6d09d516248c,https://doi.org/10.1002/ana.410220408,JournalArticle,unknown,4,brain; brain/neural structure in title,
1987,Experience and brain development.,"W. Greenough, J. Black, C. S. Wallace",Child Development,1987-06-01,1422,General Brain-AI Structure Reviews and Methods,brain-structure,10.2307/1130197,77991efe4235377034d9c46a86305e2f4af2e703,https://doi.org/10.2307/1130197,JournalArticle,unknown,4,brain; brain/neural structure in title,
1987,Monte Carlo-minimization approach to the multiple-minima problem in protein folding.,"Z. Li, H. Scheraga",Proceedings of the National Academy of Sciences of the United States of America,1987-10-01,1296,General Brain-AI Structure Reviews and Methods,brain-structure,10.1073/PNAS.84.19.6611,9eec3698f6515884fd274113b4613545ba3cad33,https://doi.org/10.1073/PNAS.84.19.6611,JournalArticle,unknown,1,brain,A Monte Carlo-minimization method has been developed to overcome the multiple-minima problem.
1987,Characterization and chromosomal localization of a cDNA encoding brain amyloid of Alzheimer's disease.,"D. Goldgaber, M. Lerman, O. McBride, U. Saffiotti, D. C. Gajdusek",Science,1987-02-20,1265,"Brain Decoding, Representation Learning, and BCI",brain-structure;clinical-neuroai,10.1126/SCIENCE.3810169,eda7bbd091660a2676011cf0972475530cd86a64,https://doi.org/10.1126/SCIENCE.3810169,JournalArticle; Study,unknown,4,brain; brain/neural structure in title,
1987,Corticotropin-releasing factor-producing neurons in the rat activated by interleukin-1.,"F. Berkenbosch, J. V. Oers, A. Rey, F. Tilders, H. Besedovsky",Science,1987-10-23,1129,"Cellular, Synaptic, and Neuromorphic Foundations",,10.1126/SCIENCE.2443979,6726012f9ae961dbafa2e3b934a1bf648814d41b,https://doi.org/10.1126/SCIENCE.2443979,JournalArticle,unknown,1,neuron,
